ort,zusatz,bundesland,plz,lat,lon
Aldersbach,,Bayern,94501,48.56985,13.06939
Aldingen,Kr Tuttlingen,Baden-Württemberg,78554,48.09574,8.6822
Alerheim,,Bayern,86733,48.84431,10.62686
Alesheim,,Bayern,91793,49.04631,10.86375
Aletshausen,,Bayern,86480,48.19913,10.38575
Alf,,Rheinland-Pfalz,56859,50.06018,7.12322
Alfdorf,,Baden-Württemberg,73553,48.85548,9.70002
Alfeld,(Leine),Niedersachsen,31061,51.98302,9.82791
Alfeld,Mittelfr,Bayern,91236,49.429,11.54404
Alfhausen,,Niedersachsen,49594,52.50031,7.95193
Alflen,,Rheinland-Pfalz,56828,50.17701,7.03954
Alfstedt,b Bremervörde,Niedersachsen,27432,53.49807,9.11349
Alfter,,Nordrhein-Westfalen,53347,50.70829,7.00463
Algenstedt,,Sachsen-Anhalt,39638,52.53867,11.40509
Algermissen,,Niedersachsen,31191,52.26015,9.97092
Algertshausen,"b Greifenberg, Ammersee",Bayern,86926,48.07914,11.07312
Algesbüttel,,Niedersachsen,38551,52.43322,10.51002
Algishofen,,Baden-Württemberg,73453,48.91266,9.98096
Alheim,,Hessen,36211,51.02112,9.65803
Alikendorf,,Sachsen-Anhalt,39398,51.99247,11.31928
Alken,Mosel,Rheinland-Pfalz,56332,50.24828,7.44801
Alkersleben,,Thüringen,99310,50.8101,10.96409
Alkersum,,Schleswig-Holstein,25938,54.71822,8.5031
Allenbach,Hunsrück,Rheinland-Pfalz,55758,49.8124,7.25528
Allendorf,(Eder),Hessen,35108,51.03572,8.67288
Allendorf,(Lumda),Hessen,35469,50.68332,8.82684
Allendorf,Rhein-Lahn-Kr,Rheinland-Pfalz,56370,50.29585,7.91754
Allendorf,b Rudolstadt,Thüringen,07426,50.65898,11.11527
Allenfeld,,Rheinland-Pfalz,55595,49.86385,7.73176
Allensbach,,Baden-Württemberg,78476,47.7147,9.06919
Alleringersleben,,Sachsen-Anhalt,39343,52.22486,11.30453
Allersberg,Mittelfr,Bayern,90584,49.23571,11.2342
Allersdorf,"b Ilmenau, Thür",Thüringen,98701,50.59213,11.04641
Allershausen,Oberbay,Bayern,85391,48.4303,11.59855
Alleshausen,,Baden-Württemberg,88422,48.06185,9.60795
Alling,Oberbay,Bayern,82239,48.14081,11.29956
Allmannshofen,,Bayern,86695,48.59499,10.83268
Allmannsweiler,b Bad Saulgau,Baden-Württemberg,88348,48.0241,9.51901
Allmendingen,Württ,Baden-Württemberg,89604,48.34071,9.69044
Allmenhausen,,Thüringen,99713,51.28627,10.73382
Allmersbach,im Tal,Baden-Württemberg,71573,48.90678,9.47041
Allmosen,,Brandenburg,01983,51.58798,14.01097
Allrode,,Sachsen-Anhalt,06507,51.16569,10.45153
Allstedt,,Sachsen-Anhalt,06542,51.40467,11.38577
Almdorf,,Schleswig-Holstein,25821,54.61951,8.96577
Almersbach,,Rheinland-Pfalz,57610,50.68244,7.66258
Almosmühle,,Bayern,93449,49.37832,12.70581
Almstedt,,Niedersachsen,31079,52.04113,9.91319
Alpen,,Nordrhein-Westfalen,46519,51.59969,6.48057
Alpenrod,,Rheinland-Pfalz,57642,50.63126,7.87007
Alperstedt,,Thüringen,99195,51.09237,11.09922
Alpirsbach,,Baden-Württemberg,72275,48.3636,8.38241
Alsau,,Rheinland-Pfalz,53547,50.56516,7.3806
Alsbach,Westerw,Rheinland-Pfalz,56237,50.49686,7.71056
Alsbach-Hähnlein,,Hessen,64665,49.7366,8.58523
Alsdorf,Eifel,Rheinland-Pfalz,54668,49.8721,6.41906
Alsdorf,Rheinl,Nordrhein-Westfalen,52477,50.86482,6.17566
Alsdorf,Sieg,Rheinland-Pfalz,57518,50.7728,7.87368
Alsenz,,Rheinland-Pfalz,67821,49.72948,7.81715
Alsfeld,,Hessen,36304,50.74771,9.27586
Alsheim,Rheinhess,Rheinland-Pfalz,67577,49.76566,8.34025
Alsleben,(Saale),Sachsen-Anhalt,06425,51.69948,11.67058
Alt Bennebek,,Schleswig-Holstein,24848,54.40052,9.4998
Alt Bork,,Brandenburg,14822,52.20037,12.79268
Alt Brieselang,,Brandenburg,14656,52.58271,12.95817
Alt Bukow,,Mecklenburg-Vorpommern,18233,54.01771,11.69805
Alt Duvenstedt,,Schleswig-Holstein,24791,54.3578,9.64261
Alt Golm,,Brandenburg,15526,52.26236,14.03594
Alt Jabel,,Mecklenburg-Vorpommern,19303,53.23371,11.17997
Alt Karin,,Mecklenburg-Vorpommern,18236,54.06316,11.7968
Alt Krenzlin,,Mecklenburg-Vorpommern,19288,53.33713,11.46798
Alt Krüssow,,Brandenburg,16928,53.13447,12.18056
Alt Kätwin,,Mecklenburg-Vorpommern,18299,53.90807,12.34444
Alt Lanschvitz,,Mecklenburg-Vorpommern,18581,54.35028,13.47676
Alt Lutterow,,Brandenburg,16837,53.1613,12.75199
Alt Madlitz,,Brandenburg,15518,52.38647,14.19504
Alt Mahlisch,,Brandenburg,15306,52.4943,14.36042
Alt Meteln,,Mecklenburg-Vorpommern,19069,53.72237,11.41783
Alt Mölln,,Schleswig-Holstein,23881,53.60306,10.61165
Alt Necheln,,Mecklenburg-Vorpommern,19412,53.71009,11.68974
Alt Poorstorf,,Mecklenburg-Vorpommern,23992,53.8647,11.68699
Alt Rehse,,Mecklenburg-Vorpommern,17217,53.5235,13.05111
Alt Ruppin,,Brandenburg,16827,52.98437,12.87082
Alt Schwerin,,Mecklenburg-Vorpommern,17214,53.53348,12.42419
Alt Schönau,,Mecklenburg-Vorpommern,17192,53.51459,12.73048
Alt Stahnsdorf,,Brandenburg,15859,52.24406,13.91797
Alt Tellin,,Mecklenburg-Vorpommern,17129,53.91804,13.24177
Alt Tucheband,,Brandenburg,15328,52.55133,14.55333
Alt Zachun,,Mecklenburg-Vorpommern,19230,53.40188,11.24957
Alt Zauche,,Brandenburg,15913,51.91288,14.12376
Alt-Galow,,Brandenburg,16278,53.04259,13.98426
Alt-Schadow,,Brandenburg,15910,51.99014,13.77779
Alt-Sührkow,,Mecklenburg-Vorpommern,17166,53.75001,12.58823
Altbach,Württ,Baden-Württemberg,73776,48.72734,9.38164
Altbarnim,,Brandenburg,15320,52.59596,14.23637
Altbrand,,Rheinland-Pfalz,76726,49.20919,8.37425
Altbrandsleben,,Sachsen-Anhalt,39387,52.01819,11.21961
Altdorf,Kr Böblingen,Baden-Württemberg,71155,48.60335,9.00504
Altdorf,Niederbay,Bayern,84032,48.55369,12.10511
Altdorf,Pfalz,Rheinland-Pfalz,67482,49.28569,8.21153
Altdorf,b Nürtingen,Baden-Württemberg,72655,48.59456,9.27349
Altdorf,b. Nürnberg,Bayern,90518,49.38601,11.37642
Altdöbern,,Brandenburg,03229,51.64968,14.0256
Altefähr,,Mecklenburg-Vorpommern,18573,54.35521,13.28997
Alteglofsheim,,Bayern,93087,48.9208,12.20444
Altena,Westf,Nordrhein-Westfalen,58762,51.27521,7.65858
Altenahr,,Rheinland-Pfalz,53505,50.54829,6.99493
Altenau,Harz,Niedersachsen,38707,51.82145,10.45811
Altenau,"b Mühlberg, Elbe",Brandenburg,04931,51.4344,13.22132
Altenbach,b Wurzen,Sachsen,04828,51.36439,12.68831
Altenbamberg,,Rheinland-Pfalz,55585,49.78745,7.83201
Altenbeken,,Nordrhein-Westfalen,33184,51.74515,8.93971
Altenberg,Erzgeb,Sachsen,01773,50.77663,13.73646
Altenberga,,Thüringen,07768,50.80012,11.58376
