ort,zusatz,bundesland,plz,lat,lon
Kenzingen,,Baden-Württemberg,79341,48.18886,7.80566
Keppeshausen,,Rheinland-Pfalz,54673,49.99551,6.23244
Kerben,,Rheinland-Pfalz,56295,50.31048,7.40635
Kerkau,,Sachsen-Anhalt,29416,52.79643,11.33372
Kerken,,Nordrhein-Westfalen,47647,51.45662,6.39425
Kerkow,,Brandenburg,16278,53.04259,13.98426
Kernen,im Remstal,Baden-Württemberg,71394,48.78944,9.33466
Kerpen,(Eifel),Rheinland-Pfalz,54578,50.30522,6.69693
Kerpen,Rheinl,Nordrhein-Westfalen,50169,50.86885,6.67113
Kerschbaum,"b Windorf, Niederbay",Bayern,94529,48.67236,13.28923
Kerschenbach,,Rheinland-Pfalz,54589,50.34095,6.52716
Kerspleben,,Thüringen,99198,50.96935,11.15475
Kerzendorf,b Ludwigsfelde,Brandenburg,14974,52.27808,13.25691
Kerzenheim,,Rheinland-Pfalz,67304,49.56478,8.04765
Kerzlin,,Brandenburg,16845,52.8583,12.43437
Kescheid,,Rheinland-Pfalz,57632,50.64756,7.52776
Kesfeld,,Rheinland-Pfalz,54619,50.13772,6.21658
Kesseling,,Rheinland-Pfalz,53506,50.48252,6.98645
Kesselsdorf,,Sachsen,01723,51.0503,13.53621
Kessin,b Rostock,Mecklenburg-Vorpommern,18196,54.01376,12.21585
Kesten,,Rheinland-Pfalz,54518,49.95221,6.81812
Kestert,,Rheinland-Pfalz,56348,50.12677,7.76569
Ketsch,Rhein,Baden-Württemberg,68775,49.37164,8.52601
Kettemers Mühle,,Rheinland-Pfalz,56271,50.60459,7.68197
Ketten,,Thüringen,36419,50.73072,9.98459
Kettenhausen,,Rheinland-Pfalz,57612,50.7273,7.6948
Kettenheim,Rheinhess,Rheinland-Pfalz,55234,49.7021,8.1389
Kettenkamp,,Niedersachsen,49577,52.54109,7.87143
Kettershausen,,Bayern,86498,48.19527,10.26179
Kettig,b Koblenz am Rhein,Rheinland-Pfalz,56220,50.37288,7.4605
Ketzin,,Brandenburg,14669,52.50989,12.83148
Ketzür,,Brandenburg,14778,52.48522,12.5601
Keula,b Sondershausen,Thüringen,99713,51.28627,10.73382
Kevelaer,,Nordrhein-Westfalen,47623,51.58315,6.25992
Kickeshausen,,Rheinland-Pfalz,54689,50.07016,6.18582
"Kiebitzberg, Gem Beveringen",,Brandenburg,16928,53.13447,12.18056
Kiebitzreihe,,Schleswig-Holstein,25368,53.78112,9.61383
Kiedrich,Rheingau,Hessen,65399,50.04007,8.08263
Kiefersfelden,,Bayern,83088,47.61811,12.18679
Kiehnwerder,,Brandenburg,15324,52.64405,14.36122
Kiekebusch,NL,Brandenburg,03058,51.7437,14.41743
Kiekebusch,b Königs Wusterhausen,Brandenburg,15749,52.25648,13.53819
Kiel,Ostsee,Schleswig-Holstein,24103,54.32233,10.12789
Kienbaum,,Brandenburg,15345,52.62518,13.91087
Kienberg,Oberbay,Bayern,83361,48.0353,12.46681
Kienberg,b Nauen,Brandenburg,14641,52.63142,12.81202
Kienitz,,Brandenburg,15324,52.64405,14.36122
Kienwerder,b Potsdam,Brandenburg,14532,52.36147,13.19002
Kierspe,,Nordrhein-Westfalen,58566,51.13392,7.56613
Kiesby,,Schleswig-Holstein,24392,54.64155,9.80308
Kieselbach,b Bad Salzungen,Thüringen,36460,50.85724,10.09967
Kieselbronn,,Baden-Württemberg,75249,48.93311,8.74943
Kieselwitz,,Brandenburg,15890,52.16503,14.56099
Kietz,b Rhinow,Brandenburg,14728,52.72889,12.41213
Kieve,,Mecklenburg-Vorpommern,17209,53.32468,12.45353
Kiliansroda,,Thüringen,99441,50.94415,11.42979
Kindelbrück,,Thüringen,99638,51.25729,11.09259
Kindenheim,,Rheinland-Pfalz,67271,49.54306,8.13804
Kinderbeuern,,Rheinland-Pfalz,54538,50.02296,7.01439
Kinding,,Bayern,85125,48.99967,11.38711
Kindsbach,Pfalz,Rheinland-Pfalz,66862,49.41416,7.6281
"Kindsbach, Forsthaus",b Kaiserslautern,Rheinland-Pfalz,67661,49.40834,7.71562
Kindshagen,,Mecklenburg-Vorpommern,18314,54.30752,12.61132
Kinheim,,Rheinland-Pfalz,54538,50.02296,7.01439
Kinsau,,Bayern,86981,47.87758,10.90889
Kinzenburg,,Rheinland-Pfalz,54597,50.13897,6.34764
Kipfenberg,Oberbayern,Bayern,85110,48.95006,11.39411
Kippenheim,,Baden-Württemberg,77971,48.29408,7.82476
Kirburg,,Rheinland-Pfalz,57629,50.69809,7.81941
Kirch Jesar,,Mecklenburg-Vorpommern,19230,53.40188,11.24957
Kirch Mulsow,,Mecklenburg-Vorpommern,18233,54.01771,11.69805
Kirch-Mummendorf,,Mecklenburg-Vorpommern,23936,53.84653,11.18732
Kirchanschöring,,Bayern,83417,47.95295,12.83455
Kirchardt,,Baden-Württemberg,74912,49.20529,8.99045
Kirchbarkau,,Schleswig-Holstein,24245,54.21897,10.16541
Kirchberg,(Hunsrück),Rheinland-Pfalz,55481,49.94321,7.40837
Kirchberg,Holzland,Bayern,84434,48.40533,12.04824
Kirchberg,Sachs,Sachsen,08107,50.59274,12.54662
Kirchberg,an der Iller,Baden-Württemberg,88486,48.13189,10.07188
Kirchberg,an der Jagst,Baden-Württemberg,74592,49.20146,9.98189
Kirchberg,an der Murr,Baden-Württemberg,71737,48.94345,9.34174
Kirchberg i. Wald,,Bayern,94259,48.8981,13.18219
Kirchbrak,,Niedersachsen,37619,51.95522,9.51824
Kirchdorf,Kr Kelheim,Bayern,93348,48.77097,11.90372
Kirchdorf,a d Amper,Bayern,85414,48.45832,11.65195
Kirchdorf,a. Inn,Bayern,84375,48.24711,12.98503
Kirchdorf,an der Iller,Baden-Württemberg,88457,48.07695,10.12351
Kirchdorf,b Grimmen,Mecklenburg-Vorpommern,18519,54.19518,13.19044
Kirchdorf,"b Haag, Oberbay",Bayern,83527,48.18394,12.16494
Kirchdorf,b Sulingen,Niedersachsen,27245,52.56802,8.80827
Kirchdorf,i. Wald,Bayern,94261,48.91166,13.26751
Kirchehrenbach,,Bayern,91356,49.73279,11.1543
Kircheib,,Rheinland-Pfalz,57635,50.717,7.53308
Kirchen,(Sieg),Rheinland-Pfalz,57548,50.80842,7.88198
Kirchendemenreuth,,Bayern,92665,49.71446,12.15606
Kirchengel,,Thüringen,99718,51.23446,10.93052
Kirchenlamitz,,Bayern,95158,50.15676,11.94823
Kirchenpingarten,,Bayern,95466,49.94126,11.72274
Kirchensittenbach,,Bayern,91241,49.55599,11.42191
Kirchensur,,Bayern,83552,48.03278,12.30562
Kirchentellinsfurt,,Baden-Württemberg,72138,48.54233,9.13829
Kirchenthumbach,,Bayern,91281,49.76653,11.6986
Kirchgandern,,Thüringen,37318,51.36287,10.07218
Kirchgellersen,,Niedersachsen,21394,53.23553,10.24213
Kirchhain,,Hessen,35274,50.84948,8.91369
Kirchhalling,,Bayern,83329,47.94403,12.69994
Kirchham,Niederbay,Bayern,94148,48.34656,13.26742
Kirchhasel,b Rudolstadt,Thüringen,07407,50.73282,11.32871
Kirchhaslach,,Bayern,87755,48.16477,10.32151
Kirchheilingen,,Thüringen,99947,51.09493,10.62322
Kirchheim,Hess,Hessen,36275,50.83705,9.57538
Kirchheim,Schwab,Bayern,87757,48.17294,10.47371
Kirchheim,Unterfr,Bayern,97268,49.65668,9.85642
Kirchheim,am Neckar,Baden-Württemberg,74366,49.04298,9.14364
Kirchheim,am Ries,Baden-Württemberg,73467,48.8796,10.40905
Kirchheim,an der Weinstraße,Rheinland-Pfalz,67281,49.53795,8.18049
Kirchheim,b Arnstadt,Thüringen,99334,50.87842,10.97212
Kirchheim,b. München,Bayern,85551,48.18268,11.74575
Kirchheim,unter Teck,Baden-Württemberg,73230,48.64251,9.45942
Kirchheimbolanden,,Rheinland-Pfalz,67292,49.66696,7.98012
Kirchhundem,,Nordrhein-Westfalen,57399,51.04782,8.06632
Kirchlauter,,Bayern,96166,50.04542,10.7009
Kirchlengern,,Nordrhein-Westfalen,32278,52.22515,8.65662
Kirchlinteln,,Niedersachsen,27308,52.91191,9.38598
Kirchnüchel,,Schleswig-Holstein,23714,54.19783,10.59905
Kirchohmfeld,,Thüringen,37339,51.45727,10.36357
Kirchroth,,Bayern,94356,48.95445,12.53944
Kirchsahr,,Rheinland-Pfalz,53505,50.54829,6.99493
Kirchscheidungen,,Sachsen-Anhalt,06636,51.21757,11.65896
Kirchseelte,,Niedersachsen,27243,52.90915,8.58705
Kirchseeon,,Bayern,85614,48.06777,11.88267
Kirchstätt,b Traunwalchen,Bayern,83374,47.94545,12.60182
Kirchtimke,,Niedersachsen,27412,53.2239,9.07729
Kirchwald,b Mayen,Rheinland-Pfalz,56729,50.36912,7.15165
Kirchwalsede,,Niedersachsen,27386,53.06664,9.48352
Kirchweidach,,Bayern,84558,48.07042,12.6499
Kirchweiler,,Rheinland-Pfalz,54570,50.13325,6.7214
Kirchwistedt,,Niedersachsen,27616,53.43477,8.79697
Kirchworbis,,Thüringen,37339,51.45727,10.36357
Kirchzarten,Breisgau,Baden-Württemberg,79199,47.95931,7.9503
Kirchzell,,Bayern,63931,49.61796,9.17715
Kirf,,Rheinland-Pfalz,54441,49.63944,6.54156
Kirkel,,Saarland,66459,49.29534,7.25513
Kirmutscheid,,Rheinland-Pfalz,53534,50.34786,6.85686
Kirn,Nahe,Rheinland-Pfalz,55606,49.78701,7.49201
Kirrweiler,(Pfalz),Rheinland-Pfalz,67489,49.30537,8.1719
Kirrweiler,b Lauterecken,Rheinland-Pfalz,67744,49.6671,7.61116
Kirsbach,,Rheinland-Pfalz,53539,50.3,6.87738
Kirschau,,Sachsen,02681,51.09724,14.39358
Kirschbacherhof,,Rheinland-Pfalz,66482,49.24198,7.37344
Kirschbachermühle,,Rheinland-Pfalz,66482,49.24198,7.37344
Kirschfurt,,Bayern,97896,49.74787,9.36614
Kirschkau,,Thüringen,07919,50.53947,11.92895
Kirschroth,,Rheinland-Pfalz,55566,49.7973,7.64903
Kirschweiler,,Rheinland-Pfalz,55743,49.71426,7.34479
Kirtorf,,Hessen,36320,50.77162,9.1064
Kisdorf,Holst,Schleswig-Holstein,24629,53.80904,10.00774
Kisselbach,Hunsrück,Rheinland-Pfalz,56291,50.11304,7.57863
Kissenbrück,,Niedersachsen,38324,52.11146,10.59451
Kissing,,Bayern,86438,48.30523,10.97228
Kist,,Bayern,97270,49.74013,9.82992
Kittendorf,,Mecklenburg-Vorpommern,17153,53.66892,12.93076
Kittlitz,b Löbau,Sachsen,02708,51.0774,14.65558
Kittlitz,b Lübbenau,Brandenburg,03222,51.85668,13.90489
Kittlitz,b Ratzeburg,Schleswig-Holstein,23911,53.68539,10.88566
Kitzen,b Leipzig,Sachsen,04460,51.16569,10.45153
Kitzingen,,Bayern,97318,49.74513,10.18752
Kitzscher,,Sachsen,04567,51.18811,12.54857
Kißleberfeld,,Niedersachsen,38350,52.24301,11.00172
Kißlegg,,Baden-Württemberg,88353,47.7925,9.89449
Kladrum,,Mecklenburg-Vorpommern,19374,53.5239,11.79548
Klaftertalerhof,,Rheinland-Pfalz,67691,49.4437,7.89566
Klais,,Bayern,82493,47.48608,11.21365
Klamp,,Schleswig-Holstein,24321,54.30053,10.56164
Klanxbüll,,Schleswig-Holstein,25924,54.86126,8.67161
Klappholz,,Schleswig-Holstein,24860,54.62152,9.57061
Klasdorf,,Brandenburg,15837,52.03348,13.50421
Klaubmühle,,Bayern,97486,50.08087,10.56645
Klausdorf,Schwentine,Schleswig-Holstein,24147,54.30278,10.18553
Klausdorf,b Jüterbog,Brandenburg,14929,52.06461,12.85014
Klausdorf,b Stralsund,Mecklenburg-Vorpommern,18445,54.37122,13.0232
Klausdorf,b Zossen b Berlin,Brandenburg,15838,52.13528,13.3709
Klausen,Mosel,Rheinland-Pfalz,54524,49.90245,6.87602
Kleekamp,b Warin,Mecklenburg-Vorpommern,19417,53.79131,11.64686
Kleemeisterei,Ostalbkr,Baden-Württemberg,73575,48.84943,9.87661
Kleeste,,Brandenburg,19348,53.11688,11.92614
Kleesten,,Mecklenburg-Vorpommern,19399,53.58385,12.07135
Klein Ammensleben,,Sachsen-Anhalt,39326,52.27958,11.62463
Klein Barkau,,Schleswig-Holstein,24245,54.21897,10.16541
Klein Behnitz,,Brandenburg,14641,52.63142,12.81202
Klein Belitz,,Mecklenburg-Vorpommern,18246,53.86087,11.94391
Klein Bengerstorf,,Mecklenburg-Vorpommern,19258,53.40359,10.76152
Klein Bennebek,,Schleswig-Holstein,24848,54.40052,9.4998
Klein Berßen,,Niedersachsen,49777,52.80203,7.44172
Klein Briesen,b Belzig,Brandenburg,14806,52.17817,12.6006
Klein Bölkow,,Mecklenburg-Vorpommern,18239,53.98913,11.89085
Klein Bünsdorf,,Mecklenburg-Vorpommern,23923,53.83187,10.87156
Klein Bünzow,,Mecklenburg-Vorpommern,17390,53.93414,13.7212
Klein Chüden,,Sachsen-Anhalt,29410,52.84009,11.19969
Klein Döbbern,,Brandenburg,03058,51.7437,14.41743
Klein Düben,,Brandenburg,03130,51.5838,14.37591
Klein Gartz,,Sachsen-Anhalt,29416,52.79643,11.33372
Klein Gischow,,Mecklenburg-Vorpommern,18246,53.86087,11.94391
Klein Gladebrügge,,Schleswig-Holstein,23795,53.92727,10.29327
Klein Gnemern,,Mecklenburg-Vorpommern,18246,53.86087,11.94391
Klein Gottschow,,Brandenburg,19348,53.11688,11.92614
Klein Grönau,,Schleswig-Holstein,23627,53.80147,10.75035
Klein Görnow,,Mecklenburg-Vorpommern,19406,53.69223,11.86932
Klein Haßlow,,Brandenburg,16909,53.12115,12.51526
Klein Heikeland,,Niedersachsen,26759,53.42196,7.20977
Klein Jarchow,,Mecklenburg-Vorpommern,19412,53.71009,11.68974
Klein Kampen,Gem Dammfleth,Schleswig-Holstein,25573,53.87491,9.3993
Klein Krams,,Mecklenburg-Vorpommern,19288,53.33713,11.46798
Klein Kreutz,,Brandenburg,14778,52.48522,12.5601
Klein Kussewitz,,Mecklenburg-Vorpommern,18184,54.07308,12.21219
Klein Kölzig,,Brandenburg,03159,51.63818,14.59961
Klein Labenz,,Mecklenburg-Vorpommern,19417,53.79131,11.64686
Klein Langerwisch,,Brandenburg,16928,53.13447,12.18056
Klein Leine,,Brandenburg,15913,51.91288,14.12376
Klein Leppin,,Brandenburg,19322,52.98856,11.7934
Klein Linde,,Brandenburg,19348,53.11688,11.92614
Klein Loitz,,Brandenburg,03130,51.5838,14.37591
Klein Luckow,b Strasburg,Mecklenburg-Vorpommern,17337,53.4504,13.80473
Klein Lukow,,Mecklenburg-Vorpommern,17217,53.5235,13.05111
Klein Lüben,,Brandenburg,19322,52.98856,11.7934
Klein Marzehns,,Brandenburg,14823,52.07082,12.69015
Klein Meckelsen,,Niedersachsen,27419,53.29205,9.51779
Klein Molzahn,,Mecklenburg-Vorpommern,19217,53.77944,11.04967
Klein Neuleben,,Mecklenburg-Vorpommern,23923,53.83187,10.87156
Klein Nordende,,Schleswig-Holstein,25336,53.7353,9.65923
Klein Offenseth-Sparrieshoop,,Schleswig-Holstein,25365,53.78508,9.67983
Klein Oschersleben,,Sachsen-Anhalt,39398,51.99247,11.31928
Klein Oßnig,,Brandenburg,03058,51.7437,14.41743
Klein Pampau,,Schleswig-Holstein,21514,53.47932,10.61596
Klein Pravtshagen,,Mecklenburg-Vorpommern,23948,53.95172,11.12204
Klein Pritz,,Mecklenburg-Vorpommern,19406,53.69223,11.86932
Klein Quenstedt,,Sachsen-Anhalt,38822,51.93746,11.05498
Klein Radden,,Brandenburg,03222,51.85668,13.90489
Klein Raden,,Mecklenburg-Vorpommern,18249,53.77814,12.01836
Klein Rheide,,Schleswig-Holstein,24848,54.40052,9.4998
Klein Rodensleben,,Sachsen-Anhalt,39167,52.13518,11.50131
Klein Rogahn,,Mecklenburg-Vorpommern,19073,53.57352,11.3027
Klein Rönnau,,Schleswig-Holstein,23795,53.92727,10.29327
Klein Salitz,,Mecklenburg-Vorpommern,19205,53.67731,11.11736
Klein Schierstedt,,Sachsen-Anhalt,06449,51.77931,11.47298
Klein Schulzendorf,,Brandenburg,14959,52.23178,13.1885
Klein Schwansee,,Mecklenburg-Vorpommern,23942,53.9075,10.97564
Klein Schwarzlosen,,Sachsen-Anhalt,39517,52.43399,11.81062
Klein Schwechten,,Sachsen-Anhalt,39579,52.62268,11.65093
Klein Siemz,,Mecklenburg-Vorpommern,23923,53.83187,10.87156
Klein Sien,,Mecklenburg-Vorpommern,18246,53.86087,11.94391
Klein Stieten,,Mecklenburg-Vorpommern,23972,53.84194,11.45942
Klein Tessin,b Krakow a See,Mecklenburg-Vorpommern,18292,53.68244,12.36276
Klein Thurow,,Mecklenburg-Vorpommern,19205,53.67731,11.11736
Klein Trebbow,"b Schwerin, Meckl",Mecklenburg-Vorpommern,19069,53.72237,11.41783
Klein Upahl,,Mecklenburg-Vorpommern,18276,53.68329,12.0939
Klein Vielen,,Mecklenburg-Vorpommern,17237,53.35873,13.24523
Klein Wanzleben,,Sachsen-Anhalt,39164,52.07002,11.36887
Klein Warin,,Mecklenburg-Vorpommern,23992,53.8647,11.68699
Klein Warin Lager,,Mecklenburg-Vorpommern,23992,53.8647,11.68699
Klein Warnow,,Brandenburg,19357,53.1628,11.7454
Klein Welzin,,Mecklenburg-Vorpommern,19209,53.65278,11.17452
Klein Wesenberg,,Schleswig-Holstein,23860,53.79968,10.55855
Klein Wieblitz,,Sachsen-Anhalt,29413,52.78368,10.87672
Klein Wittensee,,Schleswig-Holstein,24361,54.40276,9.74704
Klein Woltersdorf,b Pritzwalk,Brandenburg,16928,53.13447,12.18056
Klein Zecher,,Schleswig-Holstein,23883,53.62052,10.8185
Klein Ziethen,,Brandenburg,16247,52.97946,13.74486
Klein-Mutz,,Brandenburg,16775,53.05639,13.10828
Klein-Winternheim,,Rheinland-Pfalz,55270,49.94794,8.15828
Kleinaitingen,,Bayern,86507,48.23834,10.85739
Kleinalsleben,,Sachsen-Anhalt,39398,51.99247,11.31928
Kleinaschau,b Frauenneuharting,Bayern,83565,48.02156,12.03508
Kleinau,,Sachsen-Anhalt,39606,52.78907,11.72233
Kleinbartloff,,Thüringen,37355,51.36002,10.47949
Kleinberndten,,Thüringen,99713,51.28627,10.73382
Kleinblittersdorf,,Saarland,66271,49.15422,7.06888
Kleinbockedra,,Thüringen,07646,50.85628,11.77906
Kleinbodungen,,Thüringen,99752,51.44177,10.57222
Kleinbrembach,,Thüringen,99610,51.17087,11.16515
Kleinbrüchter,,Thüringen,99713,51.28627,10.73382
Kleinbundenbach,,Rheinland-Pfalz,66501,49.30514,7.42155
Kleindröben,,Sachsen-Anhalt,06917,51.83464,12.98299
Kleinebersdorf,,Thüringen,07646,50.85628,11.77906
Kleineutersdorf,,Thüringen,07768,50.80012,11.58376
Kleinfeld,"b Schönberg, Meckl",Mecklenburg-Vorpommern,23923,53.83187,10.87156
Kleinfischlingen,,Rheinland-Pfalz,67483,49.26177,8.13443
Kleinfurra,,Thüringen,99735,51.47117,10.74226
Kleingeschwenda,b Arnsgereuth,Thüringen,07318,50.63519,11.35947
Kleingießhübel,,Sachsen,01814,50.88828,14.19987
Kleinhelfendorf,,Bayern,85655,51.16569,10.45153
Kleinhelmsdorf,,Sachsen-Anhalt,06722,51.00979,12.03229
Kleinheubach,,Bayern,63924,49.72014,9.21594
Kleinhub,b Wörnsmühl,Bayern,83739,51.16569,10.45153
Kleinich,,Rheinland-Pfalz,54483,49.89343,7.1865
Kleinjena,,Sachsen-Anhalt,06618,51.10502,11.82778
Kleinkahl,,Bayern,63828,50.10591,9.28548
Kleinkarlbach,,Rheinland-Pfalz,67271,49.54306,8.13804
Kleinkarolinenfeld,,Bayern,85655,51.16569,10.45153
Kleinkeula,,Thüringen,99976,51.25626,10.35915
Kleinkmehlen,,Brandenburg,01990,51.37793,13.7576
Kleinkochberg,,Thüringen,07407,50.73282,11.32871
Kleinkoogsdeich,,Schleswig-Holstein,25899,54.75626,8.74507
Kleinkorga,,Sachsen-Anhalt,06926,51.16569,10.45153
Kleinkrausnik,,Brandenburg,03249,51.70642,13.63103
Kleinlangenfeld,,Rheinland-Pfalz,54597,50.13897,6.34764
Kleinlangheim,,Bayern,97355,49.75347,10.32548
Kleinleinungen,,Sachsen-Anhalt,06528,51.45058,11.23554
Kleinmachnow,,Brandenburg,14532,52.36147,13.19002
Kleinmaischeid,,Rheinland-Pfalz,56271,50.60459,7.68197
Kleinmockritz,,Sachsen,04720,51.13432,13.12724
Kleinmölsen,,Thüringen,99198,50.96935,11.15475
Kleinmühle,Pfalz,Rheinland-Pfalz,67308,49.64194,8.13416
Kleinmühlingen,,Sachsen-Anhalt,39221,51.97447,11.65596
Kleinnaundorf,,Sachsen,01561,51.28346,13.67654
Kleinneuhausen,,Thüringen,99625,51.21247,11.28237
Kleinniedesheim,,Rheinland-Pfalz,67259,49.56121,8.31984
Kleinobringen,,Thüringen,99439,51.07341,11.29717
Kleinopitz,,Sachsen,01737,50.97007,13.5362
Kleinostheim,,Bayern,63801,50.01944,9.07016
Kleinow,Prignitz,Brandenburg,19348,53.11688,11.92614
Kleinow,Uckermark,Brandenburg,17291,53.3194,13.87248
Kleinpaschleben,,Sachsen-Anhalt,06369,51.71349,12.0183
Kleinrehmühle,,Bayern,95356,50.20696,11.61141
Kleinreinsdorf,,Thüringen,07989,50.72505,12.21195
Kleinrinderfeld,,Bayern,97271,49.70054,9.84466
Kleinromstedt,,Thüringen,99510,51.01108,11.50044
Kleinrudestedt,,Thüringen,99195,51.09237,11.09922
Kleinrössen,,Brandenburg,04895,51.59237,13.22793
Kleinschmalkalden,,Thüringen,98593,50.76217,10.47511
Kleinschwabhausen,b Mellingen,Thüringen,99441,50.94415,11.42979
Kleinsendelbach,,Bayern,91077,49.6152,11.14153
Kleinsteinfeld,,Rheinland-Pfalz,76889,49.08987,7.96204
Kleinsteinhausen,,Rheinland-Pfalz,66484,49.19984,7.46936
Kleinthiemig,,Sachsen,01561,51.28346,13.67654
Kleinwallstadt,,Bayern,63839,49.86605,9.17964
Kleinwasserburg,,Brandenburg,15748,52.13705,13.81707
Kleinwechsungen,,Thüringen,99735,51.47117,10.74226
Kleinwelsbach,,Thüringen,99947,51.09493,10.62322
Kleinwolmsdorf,,Sachsen,01477,51.09461,13.98915
Kleinzerbst,"b Köthen, Anh",Sachsen-Anhalt,06386,51.77197,12.07353
Kleinzerlang,,Brandenburg,16831,53.11224,12.90053
Kleinziethen,b Königs Wusterhausen,Brandenburg,15831,52.3544,13.39417
Klempau,,Schleswig-Holstein,23628,53.76787,10.66888
Klenzenhof,,Brandenburg,16928,53.13447,12.18056
Klepzig,b Belzig,Brandenburg,14823,52.07082,12.69015
Klessener Zootzen,,Brandenburg,14662,52.73483,12.57911
Klessig,,Sachsen,01623,51.20212,13.27839
Kletkamp,,Schleswig-Holstein,24327,54.25914,10.65445
Klettbach,,Thüringen,99102,50.9143,11.15061
Klettgau,,Baden-Württemberg,79771,47.62345,8.40992
Klettstedt,,Thüringen,99955,51.16137,10.81909
Klettwitz,,Brandenburg,01998,51.54108,13.89215
Kletzen-Zschölkau,,Sachsen,04519,51.46928,12.35978
Kletzin,b Demmin,Mecklenburg-Vorpommern,17111,53.83658,13.01175
Kletzin,"b Wismar, Meckl",Mecklenburg-Vorpommern,23966,53.82319,11.31747
Kletzke,,Brandenburg,19336,52.94993,11.96002
Kleve,Dithm,Schleswig-Holstein,25779,54.29485,9.15713
Kleve,Niederrhein,Nordrhein-Westfalen,47533,51.80916,6.12801
Kleve,b Itzehoe,Schleswig-Holstein,25554,53.92699,9.36454
Kleverhof,,Mecklenburg-Vorpommern,17179,53.97155,12.70468
Kleßen,,Brandenburg,14728,52.72889,12.41213
Kliding,,Rheinland-Pfalz,56825,50.14349,7.07033
Klieken,,Sachsen-Anhalt,06869,51.93811,12.43055
Kliestow,,Brandenburg,14959,52.23178,13.1885
Klietz,,Sachsen-Anhalt,39524,52.58293,12.03886
Klingelbach,,Rheinland-Pfalz,56368,50.26865,7.97579
Klingenberg,Sachs,Sachsen,01738,50.93083,13.55392
Klingenberg,a. Main,Bayern,63911,49.76796,9.18062
Klingenmühlhöfle,,Baden-Württemberg,73642,48.89043,9.64704
Klingenmünster,,Rheinland-Pfalz,76889,49.08987,7.96204
Klingenthal,,Sachsen,08248,50.39335,12.47813
Klings,,Thüringen,36452,50.66473,10.14051
Klink,b Waren,Mecklenburg-Vorpommern,17192,53.51459,12.73048
Klinke,b Stendal,Sachsen-Anhalt,39599,52.62138,11.71825
Klinken,,Mecklenburg-Vorpommern,19374,53.5239,11.79548
Klinkow,,Brandenburg,17291,53.3194,13.87248
Klinkrade,Kr Hzgt Lauenb,Schleswig-Holstein,23898,53.69829,10.52664
Klipphausen,,Sachsen,01665,51.09541,13.46418
Klippmühle,Hess,Hessen,34513,51.22819,9.04982
Klitsche,,Sachsen-Anhalt,39307,52.37445,12.17608
Klitten,,Sachsen,02906,51.28469,14.70593
Klitzschen,,Sachsen,04860,51.54863,12.95254
Klixbüll,,Schleswig-Holstein,25899,54.75626,8.74507
Klobikau,,Sachsen-Anhalt,06246,51.3882,11.86378
Klockow,b Perleberg,Brandenburg,19357,53.1628,11.7454
Klockow,b Waren,Mecklenburg-Vorpommern,17219,53.53678,12.93072
Klocksin,,Mecklenburg-Vorpommern,17194,53.58217,12.50996
Kloddram,,Mecklenburg-Vorpommern,19260,53.39957,10.9684
Kloschwitz,"b Halle, Saale",Sachsen-Anhalt,06198,51.5252,11.82739
Klossa,,Sachsen-Anhalt,06928,51.85088,13.03348
Kloster,Hiddensee,Mecklenburg-Vorpommern,18565,54.55054,13.10574
Kloster Neuendorf,,Sachsen-Anhalt,39638,52.53867,11.40509
Kloster Schäftlarn,,Bayern,82067,47.97868,11.45417
Kloster St Ludwig,,Bayern,97509,49.9254,10.25346
Kloster Veßra,,Thüringen,98660,50.50626,10.62202
Kloster Zinna,,Brandenburg,14913,51.95066,13.09874
Klosterberg,b Zeltingen-Rachtig,Rheinland-Pfalz,54492,49.96595,7.01934
Klosterbrücke,,Brandenburg,16248,52.92156,14.07997
Klosterdorf,b Strausberg,Brandenburg,15345,52.62518,13.91087
Klosterfelde,,Brandenburg,16348,52.7836,13.49036
Klosterheide,"b Lindow, Mark",Brandenburg,16835,52.9669,12.98502
Klosterhäseler,,Sachsen-Anhalt,06647,51.18797,11.53109
Klosterkumbd,,Rheinland-Pfalz,55469,49.98951,7.54625
Klosterlechfeld,,Bayern,86836,48.16078,10.80704
Klostermansfeld,,Sachsen-Anhalt,06308,51.58307,11.49236
Klosterwalde,,Brandenburg,17268,53.18163,13.54788
Klotten,,Rheinland-Pfalz,56818,50.16468,7.20052
Kludenbach,,Rheinland-Pfalz,55481,49.94321,7.40837
Kluis,,Mecklenburg-Vorpommern,18569,54.50826,13.26102
Kluse,Emsl,Niedersachsen,26892,52.95914,7.34285
Kläden,"b Arendsee, Altmark",Sachsen-Anhalt,39619,52.85946,11.44928
Kläden,b Stendal,Sachsen-Anhalt,39579,52.62268,11.65093
Klöden,,Sachsen-Anhalt,06917,51.83464,12.98299
Klötze,,Sachsen-Anhalt,38486,52.62603,11.17187
Klüden,,Sachsen-Anhalt,39638,52.53867,11.40509
Klüssendorf,,Mecklenburg-Vorpommern,23972,53.84194,11.45942
Klüsserath,,Rheinland-Pfalz,54340,49.83891,6.85195
Klütz,,Mecklenburg-Vorpommern,23948,53.95172,11.12204
Klüß,,Mecklenburg-Vorpommern,19357,53.1628,11.7454
Knapendorf,,Sachsen-Anhalt,06246,51.3882,11.86378
"Knappenfeld, Gem Surberg",,Bayern,83364,47.83296,12.74977
Knappensee-Groß Särchen,,Sachsen,02999,51.39418,14.39717
